,0
days,25.0
capital_lp_usd,1000000.0
margin_usd,331165.0
capital_base_usd,1331165.0
range_width,0.15
hedge_band,0.03
n_repositions,2.0
n_hedge_trades,297.0
pct_time_in_range,96.4
mean_liquidity_share_pct,0.965
fees_usd,68532.0
lvr_usd,46454.0
fee_over_lvr,1.475
funding_usd,3181.0
hedge_cost_usd,5693.0
gas_reposition_usd,1080.0
net_usd,18308.0
fee_apr_pct,75.17
lvr_apr_pct,-50.95
funding_apr_pct,3.49
hedge_cost_apr_pct,-6.24
net_apr_pct,20.08
sharpe,20.28
max_drawdown_usd,-1770.0
discrete_hedge_error_usd,-178.0
closed_form_lvr_usd,50879.0
